Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Выручка_от_клиента_текущий_месяц,Разность_выручки_тек_прошлый_месяц,Ошибка_сервиса,Страниц_за_визит,Всего_минут_текущем_месяце,Всего_минут_предыдущий_месяц
Прежний уровень,стандарт,нет,4,173,0.16,Косметика и аксесуары,4,4714,4,5,11,12,18
Прежний уровень,стандарт,да,4,701,0.13,Товары для детей,4,4549,-680,4,12,14,10
Прежний уровень,стандарт,да,5,1052,0.13,Домашний текстиль,5,4417,180,5,10,16,15
Прежний уровень,стандарт,да,4,570,0.21,Косметика и аксесуары,5,4940,99,2,4,17,17
Прежний уровень,стандарт,да,5,359,0.21,Техника для красоты и здоровья,4,4733,-124,5,12,11,14
Прежний уровень,премиум,да,4,480,0.17,Домашний текстиль,4,5208,393,4,15,12,20
Прежний уровень,стандарт,да,4,770,0.15,Косметика и аксесуары,2,4833,-414,1,9,9,14
Прежний уровень,стандарт,нет,4,828,0.26,Мелкая бытовая техника и электроника,4,4853,167,4,13,14,11
Прежний уровень,стандарт,да,4,1048,0.3,Домашний текстиль,5,4809,-214,1,12,14,13
Прежний уровень,стандарт,да,5,122,0.27,Мелкая бытовая техника и электроника,6,5028,380,4,13,12,23
Прежний уровень,стандарт,нет,4,501,0.25,Товары для детей,4,5138,319,4,5,12,18
Прежний уровень,стандарт,да,5,339,0.99,Товары для детей,4,4798,207,4,9,9,17
Прежний уровень,премиум,нет,5,995,0.16,Домашний текстиль,3,5568,-57,3,18,12,18
Прежний уровень,премиум,нет,4,988,0.15,Мелкая бытовая техника и электроника,2,4983,-332,4,7,19,15
Прежний уровень,стандарт,да,6,357,0.11,Техника для красоты и здоровья,4,4493,-147,5,12,21,12
Прежний уровень,стандарт,нет,5,234,0.19,Косметика и аксесуары,2,5263,-268,3,7,9,11
Прежний уровень,стандарт,да,5,276,0.28,Техника для красоты и здоровья,3,4445,-730,2,4,6,11
Прежний уровень,стандарт,да,5,272,0.95,Косметика и аксесуары,3,5532,-380,6,13,10,11
Прежний уровень,стандарт,нет,6,777,0.99,Косметика и аксесуары,2,4451,-426,3,7,18,15
Прежний уровень,премиум,нет,5,869,0.13,Домашний текстиль,3,5274,-65,3,10,19,15
Прежний уровень,стандарт,нет,4,338,0.24,Косметика и аксесуары,2,4763,-350,7,7,17,17
Прежний уровень,премиум,да,4,925,0.16,Домашний текстиль,6,4545,-132,5,11,16,10
Прежний уровень,стандарт,да,5,386,0.18,Мелкая бытовая техника и электроника,4,4439,-989,4,17,13,15
Прежний уровень,премиум,да,3,1037,0.21,Домашний текстиль,2,5509,533,6,9,22,15
Прежний уровень,стандарт,да,6,660,0.99,Товары для детей,4,4691,-111,6,12,18,13
Прежний уровень,стандарт,да,3,597,0.13,Техника для красоты и здоровья,3,5118,-278,5,11,18,21
Прежний уровень,премиум,да,4,575,0.25,Техника для красоты и здоровья,5,4629,327,5,13,19,15
Прежний уровень,стандарт,нет,3,129,0.24,Техника для красоты и здоровья,4,4919,-331,3,8,14,15
Прежний уровень,стандарт,нет,4,497,0.28,Техника для красоты и здоровья,3,5216,392,5,15,16,19
Прежний уровень,премиум,да,4,1007,0.23,Кухонная посуда,2,5004,389,6,7,23,19
Прежний уровень,стандарт,да,6,551,0.3,Косметика и аксесуары,5,4473,-580,4,6,14,14
Прежний уровень,премиум,да,4,436,0.94,Домашний текстиль,5,5193,222,1,19,13,14
Прежний уровень,стандарт,да,6,829,0.18,Товары для детей,3,4962,-647,5,5,12,12
Прежний уровень,стандарт,да,4,928,0.12,Домашний текстиль,6,5396,-441,6,8,18,12
Прежний уровень,стандарт,да,4,827,0.25,Мелкая бытовая техника и электроника,6,4415,-473,4,8,13,11
Прежний уровень,стандарт,да,6,473,0.13,Домашний текстиль,6,4667,-36,3,10,18,13
Прежний уровень,стандарт,да,5,869,0.24,Мелкая бытовая техника и электроника,3,4864,-246,4,8,13,13
Прежний уровень,стандарт,да,4,681,0.21,Техника для красоты и здоровья,2,4690,99,3,8,16,17
Прежний уровень,стандарт,да,4,1039,0.13,Мелкая бытовая техника и электроника,4,4644,-623,6,7,20,20
Прежний уровень,стандарт,да,4,404,0.21,Товары для детей,5,4777,-470,4,12,15,13
Прежний уровень,стандарт,да,3,1027,0.14,Товары для детей,3,5277,-75,4,13,14,17
Прежний уровень,стандарт,нет,4,867,0.28,Косметика и аксесуары,5,5314,25,7,9,21,16
Прежний уровень,премиум,да,4,692,0.15,Кухонная посуда,3,4609,107,2,12,13,17
Прежний уровень,стандарт,да,4,825,0.2,Домашний текстиль,5,5021,-217,4,10,11,13
Прежний уровень,стандарт,да,6,724,0.25,Техника для красоты и здоровья,5,4829,-179,6,6,8,13
Прежний уровень,стандарт,нет,3,544,0.94,Кухонная посуда,2,5261,-133,6,6,19,12
Прежний уровень,премиум,да,5,899,0.23,Товары для детей,2,4872,30,8,12,12,19
Прежний уровень,премиум,да,5,702,0.17,Мелкая бытовая техника и электроника,3,5293,100,5,15,17,17
Прежний уровень,стандарт,да,6,228,0.23,Техника для красоты и здоровья,4,5031,-204,4,10,11,19
Прежний уровень,стандарт,нет,6,512,0.17,Косметика и аксесуары,4,5103,-149,5,6,18,16
Прежний уровень,стандарт,да,5,730,0.2,Техника для красоты и здоровья,2,5388,218,4,7,12,14
Прежний уровень,стандарт,нет,4,775,0.15,Косметика и аксесуары,4,4382,-740,4,4,22,8
Прежний уровень,стандарт,да,5,574,0.28,Косметика и аксесуары,4,4742,-409,5,5,19,13
Прежний уровень,стандарт,да,4,132,0.28,Техника для красоты и здоровья,5,4506,-469,3,8,10,12
Прежний уровень,стандарт,да,4,659,0.21,Домашний текстиль,5,4690,-92,4,14,14,12
Прежний уровень,стандарт,да,5,491,0.17,Мелкая бытовая техника и электроника,3,4577,-635,2,8,14,17
Прежний уровень,стандарт,да,4,979,0.13,Мелкая бытовая техника и электроника,4,4454,481,6,14,20,23
Прежний уровень,стандарт,нет,4,980,0.15,Мелкая бытовая техника и электроника,2,4925,626,7,4,16,17
Прежний уровень,стандарт,да,5,458,0.2,Домашний текстиль,5,4899,393,6,13,7,19
Прежний уровень,стандарт,нет,4,646,0.21,Мелкая бытовая техника и электроника,4,5124,-519,7,9,18,19
Прежний уровень,стандарт,да,3,565,0.24,Товары для детей,3,5028,289,7,8,14,19
Прежний уровень,премиум,нет,4,161,0.14,Кухонная посуда,2,5618,-50,5,8,9,14
Прежний уровень,премиум,да,5,676,0.18,Косметика и аксесуары,3,4948,-552,7,9,15,15
Прежний уровень,стандарт,нет,3,150,0.14,Домашний текстиль,5,4962,-13,1,14,12,19
Прежний уровень,стандарт,да,5,131,0.16,Товары для детей,4,4520,-449,0,9,12,13
Прежний уровень,стандарт,да,4,302,0.16,Товары для детей,5,5276,263,5,8,15,14
Прежний уровень,стандарт,да,4,426,0.14,Косметика и аксесуары,6,5262,281,2,7,19,19
Прежний уровень,стандарт,нет,4,160,0.17,Товары для детей,4,5375,-605,3,5,7,13
Прежний уровень,стандарт,да,4,913,0.28,Кухонная посуда,2,4781,-499,4,7,14,15
Прежний уровень,стандарт,да,6,541,0.17,Мелкая бытовая техника и электроника,4,5223,-110,6,5,11,12
Прежний уровень,стандарт,да,5,203,0.11,Товары для детей,5,5305,-6,4,14,10,17
Прежний уровень,премиум,да,3,736,0.23,Косметика и аксесуары,2,4822,-709,5,12,15,14
Прежний уровень,стандарт,да,4,910,0.95,Техника для красоты и здоровья,2,4962,-361,5,15,19,16
Прежний уровень,стандарт,да,5,529,0.24,Мелкая бытовая техника и электроника,4,4982,-785,0,11,20,20
Прежний уровень,стандарт,да,5,826,0.16,Техника для красоты и здоровья,2,4997,-21,6,12,16,13
Прежний уровень,стандарт,да,6,713,0.3,Косметика и аксесуары,4,4977,184,5,8,20,17
Прежний уровень,премиум,да,4,1003,0.17,Техника для красоты и здоровья,4,5027,24,7,11,19,10
Прежний уровень,стандарт,да,5,673,0.94,Косметика и аксесуары,3,4743,126,5,8,16,18
Прежний уровень,стандарт,да,5,312,0.11,Техника для красоты и здоровья,2,5075,-492,6,14,10,15
Прежний уровень,стандарт,да,5,348,0.14,Товары для детей,4,4991,55,6,14,11,20
Прежний уровень,премиум,да,4,807,0.14,Мелкая бытовая техника и электроника,5,4667,255,3,9,22,11
Прежний уровень,премиум,да,6,466,0.16,Товары для детей,3,4817,-31,1,13,15,21
Прежний уровень,премиум,да,4,959,0.13,Мелкая бытовая техника и электроника,6,4342,0,3,6,21,12
Прежний уровень,стандарт,да,4,768,0.18,Кухонная посуда,3,4703,-172,3,9,11,14
Прежний уровень,стандарт,да,3,372,0.25,Кухонная посуда,2,5241,-32,5,8,14,15
Прежний уровень,премиум,да,5,973,0.17,Домашний текстиль,4,4541,-773,4,11,13,12
Прежний уровень,стандарт,да,5,435,0.23,Косметика и аксесуары,3,4727,-713,5,7,19,18
Прежний уровень,премиум,да,6,913,0.25,Кухонная посуда,3,4833,620,7,10,23,17
Прежний уровень,стандарт,нет,4,635,0.16,Техника для красоты и здоровья,4,5249,520,9,9,17,20
Прежний уровень,стандарт,да,4,791,0.11,Товары для детей,5,5030,210,4,10,13,17
Прежний уровень,стандарт,нет,5,248,0.3,Техника для красоты и здоровья,3,4846,-37,0,15,11,15
Прежний уровень,стандарт,да,6,920,0.94,Техника для красоты и здоровья,3,4429,-693,8,10,4,12
Прежний уровень,стандарт,да,6,953,0.26,Домашний текстиль,5,4999,-461,5,10,8,8
Прежний уровень,стандарт,да,3,965,0.21,Косметика и аксесуары,2,4591,-292,2,5,17,13
Прежний уровень,стандарт,да,5,907,0.16,Домашний текстиль,4,5028,206,5,9,10,17
Прежний уровень,премиум,да,6,793,0.21,Домашний текстиль,5,4893,-694,1,11,10,12
Прежний уровень,премиум,да,5,576,0.95,Кухонная посуда,3,4771,-375,2,9,18,13
Прежний уровень,стандарт,нет,6,312,0.99,Домашний текстиль,3,5518,129,2,12,13,13
Прежний уровень,стандарт,да,4,382,0.25,Мелкая бытовая техника и электроника,5,5140,-24,5,8,16,19
Прежний уровень,стандарт,да,5,629,0.21,Домашний текстиль,6,5492,684,6,6,19,15
Прежний уровень,стандарт,да,4,495,0.16,Мелкая бытовая техника и электроника,3,4958,400,5,8,12,17
Прежний уровень,стандарт,да,6,493,0.25,Товары для детей,3,4496,-437,4,8,10,16
Прежний уровень,стандарт,нет,3,304,0.15,Мелкая бытовая техника и электроника,5,4440,-377,4,5,11,18
Прежний уровень,стандарт,да,5,746,0.16,Техника для красоты и здоровья,3,4711,-694,4,9,16,15
Прежний уровень,стандарт,нет,5,272,0.95,Товары для детей,5,4736,-29,3,13,15,8
Прежний уровень,премиум,нет,4,485,0.28,Техника для красоты и здоровья,2,4660,-345,5,12,8,16
Прежний уровень,стандарт,да,5,662,0.16,Домашний текстиль,4,4981,50,3,13,11,18
Прежний уровень,стандарт,да,5,271,0.3,Товары для детей,6,4338,-411,5,5,15,16
Прежний уровень,стандарт,да,3,389,0.17,Домашний текстиль,2,5615,512,6,7,14,20
Прежний уровень,стандарт,да,3,307,0.24,Товары для детей,6,5123,-102,4,10,12,8
Прежний уровень,стандарт,нет,3,639,0.23,Домашний текстиль,3,5030,59,7,9,15,14
Прежний уровень,стандарт,нет,5,403,0.3,Домашний текстиль,4,5534,334,9,11,21,20
Прежний уровень,премиум,да,6,775,0.28,Домашний текстиль,5,4694,-61,3,16,20,10
Прежний уровень,стандарт,да,4,370,0.16,Товары для детей,4,4837,-433,4,11,15,17
Прежний уровень,стандарт,да,3,475,0.26,Мелкая бытовая техника и электроника,3,5298,256,5,7,14,15
Прежний уровень,премиум,да,5,570,0.2,Домашний текстиль,4,4770,-89,3,3,11,20
Прежний уровень,стандарт,нет,6,628,0.94,Товары для детей,3,5168,322,4,8,19,19
Прежний уровень,стандарт,да,5,387,0.11,Техника для красоты и здоровья,2,5043,-427,6,11,16,15
Прежний уровень,стандарт,да,4,735,0.17,Мелкая бытовая техника и электроника,3,5026,-128,8,8,14,15
Прежний уровень,премиум,нет,4,570,0.14,Товары для детей,2,4763,-765,2,13,13,16
Прежний уровень,стандарт,нет,4,671,0.3,Техника для красоты и здоровья,5,4592,-5,8,11,9,14
Прежний уровень,стандарт,да,4,558,0.14,Косметика и аксесуары,6,4587,-144,1,11,18,8
Прежний уровень,премиум,нет,4,179,0.26,Товары для детей,3,5123,-129,2,12,11,18
Прежний уровень,премиум,да,4,919,0.14,Домашний текстиль,3,4451,-358,5,20,17,16
Прежний уровень,стандарт,да,7,556,0.16,Техника для красоты и здоровья,5,5003,-716,5,15,6,14
Прежний уровень,стандарт,нет,3,498,0.16,Мелкая бытовая техника и электроника,3,4637,-427,1,10,8,13
Прежний уровень,стандарт,да,4,168,0.24,Товары для детей,6,4433,-47,2,10,17,17
Прежний уровень,стандарт,да,4,577,0.25,Товары для детей,3,4797,-206,2,14,12,17
Прежний уровень,стандарт,да,6,347,0.13,Мелкая бытовая техника и электроника,3,4945,40,6,5,13,16
Прежний уровень,стандарт,да,6,190,0.15,Домашний текстиль,3,5109,-29,3,17,11,13
Прежний уровень,премиум,да,6,170,0.28,Домашний текстиль,4,4840,-257,3,11,20,21
Прежний уровень,премиум,да,4,572,0.14,Мелкая бытовая техника и электроника,4,5194,-335,2,6,18,16
Прежний уровень,стандарт,да,5,153,0.14,Техника для красоты и здоровья,6,5574,-20,3,9,20,15
Прежний уровень,стандарт,да,5,908,0.16,Домашний текстиль,4,4971,335,0,9,16,15
Прежний уровень,стандарт,нет,5,613,0.27,Домашний текстиль,4,5573,11,3,12,16,14
Прежний уровень,премиум,нет,4,486,0.12,Мелкая бытовая техника и электроника,3,4882,267,2,11,14,18
Прежний уровень,стандарт,да,4,925,0.13,Мелкая бытовая техника и электроника,3,5408,-327,5,10,18,12
Прежний уровень,стандарт,да,5,524,0.11,Товары для детей,5,5145,0,5,6,19,12
Прежний уровень,стандарт,нет,5,259,0.13,Домашний текстиль,3,5012,-635,4,9,11,15
Прежний уровень,стандарт,да,4,600,0.13,Товары для детей,3,5166,-8,4,10,9,16
Прежний уровень,премиум,да,5,871,0.99,Мелкая бытовая техника и электроника,5,5442,537,2,10,16,10
Прежний уровень,стандарт,нет,6,765,0.14,Товары для детей,4,4730,648,6,9,8,8
Прежний уровень,стандарт,нет,5,1051,0.19,Товары для детей,2,5289,-378,4,6,14,12
Прежний уровень,премиум,да,4,861,0.14,Техника для красоты и здоровья,3,4674,411,4,11,6,15
Прежний уровень,премиум,да,4,1031,0.21,Домашний текстиль,5,4792,66,9,12,14,19
Прежний уровень,премиум,да,5,851,0.18,Косметика и аксесуары,2,4802,-465,6,12,15,10
Прежний уровень,стандарт,нет,4,311,0.26,Кухонная посуда,3,4451,-722,4,10,9,13
Прежний уровень,премиум,да,5,982,0.28,Техника для красоты и здоровья,2,4479,-270,4,12,22,15
Прежний уровень,премиум,да,4,732,0.99,Домашний текстиль,2,5379,-118,5,6,18,20
Прежний уровень,стандарт,да,4,192,0.24,Косметика и аксесуары,4,4357,-584,6,16,12,14
Прежний уровень,стандарт,нет,4,628,0.23,Мелкая бытовая техника и электроника,4,4987,104,8,5,9,12
Прежний уровень,премиум,да,4,865,0.24,Товары для детей,3,4866,445,2,11,14,18
Прежний уровень,стандарт,нет,4,1026,0.21,Товары для детей,2,5035,221,8,13,9,17
Прежний уровень,стандарт,да,6,1052,0.24,Домашний текстиль,2,4959,-172,6,17,11,18
Прежний уровень,премиум,да,4,379,0.24,Мелкая бытовая техника и электроника,4,4771,507,4,11,21,19
Прежний уровень,стандарт,да,6,930,0.17,Косметика и аксесуары,3,4341,-314,3,6,11,16
Прежний уровень,стандарт,да,5,906,0.95,Техника для красоты и здоровья,3,4408,139,2,6,15,9
Прежний уровень,стандарт,нет,5,226,0.28,Мелкая бытовая техника и электроника,6,5155,34,7,14,20,9
Прежний уровень,премиум,да,4,828,0.14,Товары для детей,3,5362,-179,3,7,12,18
Прежний уровень,стандарт,да,4,505,0.26,Косметика и аксесуары,6,5433,197,3,15,17,19
Прежний уровень,стандарт,да,5,460,0.28,Техника для красоты и здоровья,3,5363,-309,4,14,14,15
Прежний уровень,премиум,да,5,763,0.25,Мелкая бытовая техника и электроника,2,4856,-469,2,17,13,11
Прежний уровень,стандарт,да,4,751,0.3,Мелкая бытовая техника и электроника,5,4859,211,5,12,21,12
Прежний уровень,стандарт,нет,4,297,0.23,Товары для детей,2,5083,-533,3,10,10,16
Прежний уровень,стандарт,да,6,804,0.99,Мелкая бытовая техника и электроника,3,4658,-224,6,9,18,12
Прежний уровень,стандарт,нет,5,527,0.3,Домашний текстиль,5,5122,424,4,10,10,18
Прежний уровень,стандарт,нет,4,414,0.23,Домашний текстиль,6,5145,614,6,13,14,14
Прежний уровень,стандарт,да,4,623,0.95,Мелкая бытовая техника и электроника,2,4773,-814,6,17,11,20
Прежний уровень,премиум,да,6,1022,0.3,Техника для красоты и здоровья,4,4952,-33,7,13,17,15
Прежний уровень,премиум,да,4,755,0.13,Мелкая бытовая техника и электроника,4,4752,-395,4,15,15,11
Прежний уровень,стандарт,нет,4,494,0.25,Косметика и аксесуары,2,4667,-59,4,4,15,16
Прежний уровень,стандарт,нет,5,166,0.94,Товары для детей,5,4926,143,5,9,13,14
Прежний уровень,стандарт,нет,5,946,0.18,Косметика и аксесуары,3,5235,65,4,9,21,15
Прежний уровень,стандарт,нет,5,561,0.2,Товары для детей,4,4953,-323,1,14,6,7
Прежний уровень,стандарт,нет,6,793,0.27,Косметика и аксесуары,3,5320,-26,3,7,18,10
Прежний уровень,стандарт,да,6,162,0.25,Косметика и аксесуары,6,4534,-510,2,16,13,12
Прежний уровень,стандарт,да,4,1035,0.25,Мелкая бытовая техника и электроника,5,4678,-344,7,5,20,17
Прежний уровень,стандарт,да,6,856,0.17,Техника для красоты и здоровья,3,4466,6,7,13,15,20
Прежний уровень,стандарт,нет,6,215,0.24,Техника для красоты и здоровья,5,4590,-785,2,8,14,12
Прежний уровень,стандарт,да,6,978,0.94,Кухонная посуда,2,4935,12,4,6,14,17
Прежний уровень,стандарт,да,5,479,0.3,Кухонная посуда,4,4543,-426,7,10,14,19
Прежний уровень,стандарт,да,5,698,0.99,Кухонная посуда,4,4470,-589,2,8,6,15
Прежний уровень,стандарт,да,4,670,0.16,Мелкая бытовая техника и электроника,4,4513,443,8,7,13,15
Прежний уровень,стандарт,да,4,673,0.14,Товары для детей,3,5261,106,7,9,14,20
Прежний уровень,стандарт,нет,3,497,0.28,Техника для красоты и здоровья,3,4985,283,5,8,12,11
Прежний уровень,стандарт,нет,5,165,0.11,Техника для красоты и здоровья,3,4961,-579,3,11,11,15
Прежний уровень,стандарт,да,4,511,0.94,Кухонная посуда,4,5046,365,4,6,22,15
Прежний уровень,стандарт,нет,6,528,0.17,Мелкая бытовая техника и электроника,3,4942,-835,3,8,12,15
Прежний уровень,стандарт,нет,4,629,0.13,Домашний текстиль,3,5375,499,6,14,17,14
Прежний уровень,премиум,да,4,869,0.16,Домашний текстиль,5,4754,-495,7,14,13,11
Прежний уровень,стандарт,да,4,360,0.28,Товары для детей,4,4454,-573,3,11,12,14
Прежний уровень,премиум,да,4,699,0.28,Техника для красоты и здоровья,3,4550,-621,1,6,15,11
Прежний уровень,стандарт,да,4,874,0.28,Косметика и аксесуары,3,4918,390,4,6,20,20
Прежний уровень,премиум,да,4,1038,0.28,Кухонная посуда,2,5178,-84,1,6,13,12
Прежний уровень,премиум,да,5,549,0.24,Товары для детей,2,4489,160,6,12,12,18
Прежний уровень,стандарт,да,4,395,0.24,Товары для детей,5,4809,-293,4,18,7,15
Прежний уровень,стандарт,да,5,179,0.21,Мелкая бытовая техника и электроника,5,5428,78,4,4,15,15
Прежний уровень,стандарт,да,5,797,0.25,Мелкая бытовая техника и электроника,4,4383,-297,1,8,20,12
Прежний уровень,премиум,да,5,637,0.94,Косметика и аксесуары,4,5067,435,3,8,12,20
Прежний уровень,стандарт,нет,4,808,0.17,Мелкая бытовая техника и электроника,4,4543,-173,0,3,9,11
Прежний уровень,стандарт,нет,5,660,0.94,Товары для детей,4,4907,154,2,6,20,15
Прежний уровень,стандарт,да,4,503,0.3,Домашний текстиль,5,4603,141,5,19,9,20
Прежний уровень,стандарт,да,4,417,0.3,Товары для детей,5,4462,-901,2,9,14,11
Прежний уровень,премиум,да,4,208,0.13,Косметика и аксесуары,5,5154,100,1,10,8,12
Прежний уровень,стандарт,нет,4,145,0.25,Кухонная посуда,4,4429,-556,3,4,13,18
Прежний уровень,стандарт,да,5,334,0.14,Домашний текстиль,3,5219,-36,4,14,12,18
Прежний уровень,стандарт,да,6,365,0.17,Техника для красоты и здоровья,6,4545,32,4,8,13,11
Прежний уровень,стандарт,да,5,419,0.17,Мелкая бытовая техника и электроника,6,4579,102,5,12,11,14
Прежний уровень,премиум,да,4,707,0.23,Мелкая бытовая техника и электроника,5,5211,147,5,7,18,13
Прежний уровень,стандарт,да,3,151,0.15,Косметика и аксесуары,4,5235,-82,4,5,16,20
Прежний уровень,стандарт,нет,4,125,0.14,Товары для детей,4,5279,598,2,14,10,18
Прежний уровень,стандарт,да,5,603,0.15,Мелкая бытовая техника и электроника,3,4833,-405,5,13,17,11
Прежний уровень,стандарт,да,5,420,0.25,Косметика и аксесуары,3,5125,126,2,12,17,12
Прежний уровень,премиум,да,5,327,0.91,Домашний текстиль,3,5185,437,7,9,13,20
Прежний уровень,стандарт,да,3,322,0.99,Товары для детей,5,5139,78,5,3,20,18
Прежний уровень,стандарт,да,6,725,0.3,Товары для детей,3,5464,-197,2,6,23,12
Прежний уровень,стандарт,да,6,718,0.15,Мелкая бытовая техника и электроника,6,4624,-111,5,6,11,9
Прежний уровень,стандарт,нет,4,417,0.13,Мелкая бытовая техника и электроника,3,4468,-610,1,7,12,19
Прежний уровень,премиум,да,3,786,0.16,Косметика и аксесуары,4,4590,-224,4,11,19,8
Прежний уровень,стандарт,нет,6,563,0.21,Домашний текстиль,4,5357,-455,2,13,15,8
Прежний уровень,стандарт,да,4,446,0.13,Домашний текстиль,6,4994,257,4,10,13,16
Прежний уровень,премиум,да,5,296,0.21,Домашний текстиль,3,4930,-426,7,15,12,10
Прежний уровень,стандарт,нет,4,245,0.28,Домашний текстиль,4,5202,31,5,6,12,20
Прежний уровень,стандарт,да,5,860,0.17,Техника для красоты и здоровья,3,5060,2,8,12,18,14
Прежний уровень,премиум,да,5,881,0.13,Домашний текстиль,4,4688,-355,5,15,18,10
Прежний уровень,стандарт,нет,4,748,0.28,Косметика и аксесуары,4,4885,-517,4,9,10,14
Прежний уровень,стандарт,нет,6,645,0.28,Товары для детей,4,4974,210,3,14,16,13
Прежний уровень,стандарт,да,4,182,0.16,Товары для детей,4,5277,35,3,8,12,18
Прежний уровень,стандарт,да,5,541,0.99,Мелкая бытовая техника и электроника,3,5091,-831,5,9,11,19
Прежний уровень,стандарт,да,7,955,0.17,Товары для детей,3,5456,295,6,5,17,17
Прежний уровень,стандарт,да,5,799,0.24,Товары для детей,4,5084,272,9,8,12,11
Прежний уровень,стандарт,да,6,1010,0.16,Мелкая бытовая техника и электроника,5,4775,-360,7,9,10,10
Прежний уровень,стандарт,нет,4,180,0.94,Домашний текстиль,4,4568,-849,1,13,4,10
Прежний уровень,стандарт,да,6,290,0.16,Мелкая бытовая техника и электроника,5,4820,-356,3,12,17,19
Прежний уровень,стандарт,да,4,283,0.94,Кухонная посуда,3,4979,-540,5,14,10,10
Прежний уровень,премиум,нет,3,708,0.95,Товары для детей,2,5241,330,5,14,13,14
Прежний уровень,стандарт,да,6,339,0.23,Косметика и аксесуары,3,5185,88,5,9,12,21
Прежний уровень,стандарт,нет,5,495,0.14,Косметика и аксесуары,4,5533,112,3,8,17,12
Прежний уровень,стандарт,да,3,320,0.18,Домашний текстиль,5,5247,-609,1,8,15,13
Прежний уровень,стандарт,да,6,121,0.16,Кухонная посуда,4,5100,-264,5,7,21,20
Прежний уровень,стандарт,нет,4,609,0.27,Товары для детей,5,4552,-792,1,9,16,12
Прежний уровень,стандарт,да,4,432,0.95,Косметика и аксесуары,4,4685,-641,2,13,22,17
Прежний уровень,стандарт,да,4,466,0.13,Товары для детей,3,5407,-574,2,6,16,12
Прежний уровень,премиум,да,3,846,0.25,Мелкая бытовая техника и электроника,6,5368,355,4,6,21,9
Прежний уровень,стандарт,да,6,905,0.16,Мелкая бытовая техника и электроника,3,5194,-402,7,10,7,13
Прежний уровень,стандарт,да,4,606,0.95,Техника для красоты и здоровья,6,4912,626,4,12,17,16
Прежний уровень,премиум,да,6,631,0.26,Товары для детей,4,5255,3,4,9,18,13
Прежний уровень,стандарт,нет,4,348,0.99,Мелкая бытовая техника и электроника,3,4709,-379,3,8,9,17
Прежний уровень,стандарт,нет,5,274,0.21,Техника для красоты и здоровья,3,4893,-197,9,4,12,20
Прежний уровень,стандарт,нет,5,142,0.15,Домашний текстиль,5,5113,-50,6,10,11,11
Прежний уровень,стандарт,да,5,413,0.24,Домашний текстиль,3,4873,-112,2,10,17,13
Прежний уровень,стандарт,нет,4,791,0.94,Кухонная посуда,3,4555,-385,4,8,20,12
Прежний уровень,стандарт,да,6,577,0.17,Товары для детей,4,4707,563,4,16,16,22
Прежний уровень,премиум,да,4,748,0.95,Мелкая бытовая техника и электроника,3,5237,196,5,6,18,13
Прежний уровень,стандарт,да,5,955,0.25,Товары для детей,4,4968,-56,3,7,17,11
Прежний уровень,стандарт,да,5,508,0.23,Косметика и аксесуары,4,4906,-89,5,6,12,15
Прежний уровень,премиум,да,6,633,0.95,Товары для детей,3,4981,-400,6,12,16,16
Прежний уровень,стандарт,нет,5,234,0.23,Техника для красоты и здоровья,5,4494,40,6,7,8,16
Прежний уровень,стандарт,нет,6,852,0.94,Косметика и аксесуары,3,5588,242,6,5,20,13
Прежний уровень,стандарт,нет,5,152,0.21,Домашний текстиль,5,4612,-248,7,14,12,13
Прежний уровень,стандарт,да,5,343,0.3,Косметика и аксесуары,4,4407,566,5,9,9,18
Прежний уровень,стандарт,да,4,666,0.21,Мелкая бытовая техника и электроника,2,5132,310,2,8,18,21
Прежний уровень,стандарт,нет,3,353,0.18,Товары для детей,2,5010,368,6,15,14,19
Прежний уровень,стандарт,да,4,677,0.18,Домашний текстиль,6,5387,185,6,9,18,18
Прежний уровень,премиум,нет,7,887,0.25,Мелкая бытовая техника и электроника,5,4655,-666,4,13,19,12
Прежний уровень,премиум,да,4,921,0.24,Товары для детей,5,5213,586,8,8,16,19
Прежний уровень,стандарт,да,6,395,0.17,Домашний текстиль,4,5045,-388,5,10,6,14
Прежний уровень,стандарт,нет,5,192,0.25,Кухонная посуда,3,5463,28,2,8,13,17
Прежний уровень,стандарт,да,4,847,0.25,Техника для красоты и здоровья,5,4542,-150,3,12,13,14
Прежний уровень,стандарт,нет,4,330,0.27,Мелкая бытовая техника и электроника,5,5242,-155,2,7,14,10
Прежний уровень,стандарт,да,4,831,0.21,Мелкая бытовая техника и электроника,5,4697,550,3,7,17,11
Прежний уровень,премиум,нет,6,894,0.2,Товары для детей,4,5241,-193,2,14,18,14
Прежний уровень,стандарт,нет,3,161,0.13,Домашний текстиль,5,5428,172,4,8,15,13
Прежний уровень,стандарт,да,4,940,0.21,Домашний текстиль,5,4796,13,7,8,12,17
Прежний уровень,премиум,да,4,951,0.94,Домашний текстиль,3,5179,418,8,12,19,21
Прежний уровень,стандарт,да,5,177,0.95,Косметика и аксесуары,3,4970,-464,2,7,11,16
Прежний уровень,стандарт,да,3,641,0.27,Косметика и аксесуары,4,4549,-559,1,9,9,11
Прежний уровень,стандарт,да,3,191,0.95,Товары для детей,4,5080,240,5,13,7,14
